STA_SEQ,Station_Na,Strahler,StrMi,SqMi,Dam,Div,ICCnt,ICSum,POTW,IC_Avg,SD_Pct,Q99,DIV_CFS,POTW_CFS,DivQ99,POTWQ99,DamStrMi,ICMetric,DIVMetric,DAMMetric,STPMetric,SumMetric,HSI,InState,Len_Miles
17125,TRANSYLVANIA BROOK,2,6.91,2.850072317,0,0,8423,8476,0,1.006292295,6.297189727,0.079080746,0,0,0,0,0,1,1,1,1,4,1,1,0.098
15516,Valley Brook,3,15.8,7.332356,0,0,21403,3465,0,0.161893193,6.278618084,0.248700304,0,0,0,0,0,1,1,1,1,4,1,1,0.1
16787,"Jordan Brook,Tributary to",2,1.241272,0.464003,0,0,1331,17770,0,13.350864,6.275656,0.008714,0,0,0,0,0,3,1,1,1,6,2,1,0.197
15577,Kettletown Brook,2,12.10669765,4.641151874,0,0,14037,19023,0,1.355204103,6.223380857,0.142102411,0,0,0,0,0,1,1,1,1,4,1,1,0.12
16863,MOOSEHORN BROOK,2,3.73,1.85,0,0,5449,3786,0,0.694806386,5.945945946,0.045461974,0,0,0,0,0,1,1,1,1,4,1,1,0.396
16416,Delphi Brook,3,10.912485,3.438004,0,0,9900,4039,0,0.407979798,5.82192424,0.095453882,0,0,0,0,0,1,1,1,1,4,1,1,0.181
14355,Nonewaug River,4,83.63445453,25.43348393,5,4.6,78022,150279,0,1.926110584,5.549707714,1.058015678,7.11725179,0,6.726981406,0,0.059783973,1,3,2,1,7,2,1,0.075
16271,Gulf Stream,3,7.71,3.267166,0,2.18,9599,11495,0,1.197520575,5.513314364,0.087298114,3.372958457,0,38.63724323,0,0,1,3,1,1,6,2,1,0.274
16831,MAY BROOK,3,7.167541,2.452986,0,0,7057,651,0,0.092248831,5.498526005,0.061558898,0,0,0,0,0,1,1,1,1,4,1,1,0.076
16926,Norwichtown Brook,3,5.176842,2.515749,1,19.8,7241,53064,0,7.328269576,5.455035417,0.063223003,30.6306,0,484.4850564,0,0.193167958,3,3,3,1,10,3,1,0.237
15306,Eagleville Brook,3,5.383024,2.206827,0,0,6338,79179,3,12.49274219,5.443321289,0.053867121,0,4.641,0,0,0,3,1,1,1,6,2,1,0.104
17187,Wheeler Brook,3,6.245149,1.941554,0,0,5586,13670,0,2.447189,5.329055,0.04562,0,0,0,0,0,2,1,1,1,5,1,1,0.082
16932,Old Stone Mill Brook,3,12.928506,3.423152,1,0,9854,8793,0,0.892327989,4.844581086,0.086558634,0,0,0,0,0.077348458,1,1,2,1,5,1,1,0.111
