HydroID,NextDown,SqMi,CFcount,CF_1985,CF_1990,CF_1995,CF_2002,CF_2006,CF_2015,CF_2010
201493779,201493875,0.459036,1278,0.392801252,0.376369327,0.371674491,0.366197183,0.370109546,0.369327074,0.366979656
201489983,201489982,0.458689,1279,0.798279906,0.788897576,0.798279906,0.789679437,0.788897576,0.799061767,0.799061767
201491221,201491247,0.457647,1279,0.442533229,0.434714621,0.426896013,0.414386239,0.411258796,0.302580141,0.294761532
201492431,201492371,0.457647,1279,0.415949961,0.393275997,0.364347146,0.354964816,0.341673182,0.344018765,0.313526192
201484200,201484266,0.459037,1280,0.65859375,0.65703125,0.64921875,0.63515625,0.62421875,0.54296875,0.61953125
201486462,201486467,0.459385,1280,0.40625,0.2015625,0.16640625,0.16796875,0.15546875,0.14765625,0.15625
201489328,201489391,0.457647,1280,0.4046875,0.4078125,0.41015625,0.40703125,0.40859375,0.3953125,0.39375
201491493,201491618,0.457994,1280,0.1125,0.109375,0.10859375,0.0921875,0.10078125,0.10625,0.10703125
201496771,201496795,0.458689,1280,0.28984375,0.2703125,0.23203125,0.24765625,0.2390625,0.2390625,0.2390625
201494770,201494780,0.460774,1281,0.202185792,0.153005464,0.140515222,0.140515222,0.153005464,0.165495706,0.164715066
201485809,201485785,0.460427,1282,0.060842434,0.054602184,0.055382215,0.055382215,0.050702028,0.050702028,0.050702028
201490442,201490658,0.457995,1282,0.571762871,0.56474259,0.528081123,0.535101404,0.514820593,0.531981279,0.50624025
201490826,201490747,0.460079,1282,0.328393136,0.323712949,0.32449298,0.31825273,0.317472699,0.317472699,0.317472699
201493734,201493747,0.457994,1282,0.713728549,0.712948518,0.706708268,0.687207488,0.6950078,0.696567863,0.696567863
201495493,201495557,0.457647,1282,0.333073323,0.320592824,0.307332293,0.303432137,0.290951638,0.290951638,0.290951638
201482175,201482135,0.459732,1283,0.495713172,0.462197973,0.462977397,0.454403741,0.346843336,0.358534684,0.343725643
201485624,201485625,0.460079,1283,0.484021824,0.481683554,0.481683554,0.462197973,0.431800468,0.431800468,0.431800468
201487047,201487001,0.459384,1283,0.607170694,0.572096648,0.5604053,0.520654716,0.504286828,0.504286828,0.504286828
201490163,201490215,0.460079,1283,0.496492595,0.404520655,0.399064692,0.373343726,0.367887763,0.36944661,0.36944661
201494319,201494379,0.459732,1283,0.541699143,0.537802027,0.534684334,0.531566641,0.534684334,0.531566641,0.525331255
2011177439,1,0.459037,1283,0,0,0,0,0,0,0
201489753,201489735,0.459385,1284,0,0,0,0,0,0,0
201493618,201493631,0.461469,1284,0.824766355,0.822429907,0.819314642,0.81152648,0.753115265,0.749221184,0.757009346
201495074,201495078,0.458342,1284,0.161993769,0.161993769,0.158099688,0.147196262,0.159657321,0.159657321,0.159657321
201483325,201483394,0.460774,1285,0.712062257,0.617120623,0.618677043,0.529961089,0.520622568,0.526070039,0.525291829
201491533,201491491,0.460774,1285,0.181322957,0.087937743,0.086381323,0.087159533,0.075486381,0.152529183,0.154085603
201490944,201490832,0.461121,1286,0.741057543,0.765163297,0.773716952,0.731726283,0.737169518,0.737947123,0.736391913
201484719,201484709,0.46147,1287,0.909090909,0.885780886,0.823620824,0.820512821,0.622377622,0.374514375,0.622377622
201488201,201488247,0.462164,1287,0.68997669,0.668997669,0.662781663,0.644910645,0.621600622,0.626262626,0.625485625
201492555,201492566,0.462512,1287,0.052059052,0.055167055,0.053613054,0.050505051,0.050505051,0.050505051,0.050505051
201496144,201496186,0.462512,1287,0.069153069,0.055944056,0.024864025,0.024864025,0.014763015,0.014763015,0.014763015
201488619,201488685,0.462512,1288,0.267080745,0.266304348,0.26863354,0.26863354,0.264751553,0.264751553,0.24068323
201489997,201490036,0.463207,1288,0.624223602,0.614130435,0.600931677,0.450310559,0.529503106,0.541149068,0.543478261
201493548,201493655,0.461817,1288,0.821428571,0.795807453,0.788043478,0.742236025,0.727484472,0.715062112,0.721273292
201494471,201494470,0.462164,1288,0.000776398,0.000776398,0.000776398,0.000776398,0.000776398,0.000776398,0.000776398
201494982,201495161,0.460775,1288,0.25,0.168478261,0.142857143,0.108695652,0.104037267,0.104813665,0.104813665
201496026,201496055,0.46147,1288,0.277173913,0.27173913,0.27173913,0.246118012,0.159937888,0.145962733,0.142857143
201496434,201496444,0.462512,1288,0.011645963,0.010869565,0.00621118,0.00621118,0.006987578,0.00621118,0.006987578
201490344,201490293,0.464597,1289,0.373933282,0.373157486,0.289371606,0.301008534,0.295577967,0.276958883,0.276183088
201484329,201484406,0.464597,1290,0.947286822,0.924031008,0.947286822,0.947286822,0.947286822,0.947286822,0.937984496
201493038,201493263,0.462164,1290,0,0,0,0,0,0,0
201496006,201496060,0.464249,1290,0.265891473,0.209302326,0.172093023,0.150387597,0.127131783,0.121705426,0.124806202
201488365,201488340,0.461817,1291,0.427575523,0.42912471,0.415182029,0.434546863,0.42680093,0.421378776,0.42680093
201490892,201490844,0.462512,1291,0.00464756,0.00464756,0.00464756,0.00464756,0.00464756,0.00464756,0.00464756
201494705,201494740,0.463554,1291,0.028659954,0.02556158,0.024786987,0.02788536,0.022463207,0.022463207,0.024786987
201495081,201495178,0.461817,1291,0.439969016,0.441518203,0.316034082,0.357862122,0.333075136,0.342370256,0.342370256
201491214,201491172,0.462512,1292,0.585913313,0.582043344,0.578947368,0.534829721,0.550309598,0.560371517,0.577399381
201496885,201496902,0.463554,1292,0,0,0,0,0,0,0
201489371,201489315,0.462859,1293,0.433101315,0.353441609,0.392884764,0.392884764,0.403712297,0.39520495,0.375096674
201493225,201493275,0.464944,1293,0,0.000773395,0.000773395,0.000773395,0.000773395,0.000773395,0.000773395
201494005,201494044,0.462859,1293,0.193348801,0.186388244,0.153905646,0.138437742,0.138437742,0.138437742,0.138437742
201494786,201494900,0.463555,1293,0.650425367,0.602474865,0.588553751,0.552204176,0.556071152,0.550657386,0.550657386
201496312,201496283,0.463902,1293,0.211136891,0.171693735,0.146945089,0.150812065,0.145398299,0.149265275,0.141531323
201483635,201483781,0.464249,1294,0.216383308,0.21251932,0.21251932,0.204018547,0.170015456,0.170015456,0.162287481
201488673,201488761,0.465639,1294,0.216383308,0.197836167,0.1561051,0.1561051,0.158423493,0.159969088,0.159969088
201490468,201490560,0.464597,1294,0.753477589,0.751931994,0.751931994,0.735703246,0.740340031,0.751931994,0.736476043
201496189,201496198,0.464249,1294,0.318392581,0.244976816,0.178516229,0.172333849,0.176970634,0.176970634,0.176970634
201496821,201496834,0.463902,1294,0,0,0,0,0,0,0
201497021,201497033,0.462859,1294,0.005409583,0.002318393,0.001545595,0.002318393,0.000772798,0.000772798,0.000772798
201487634,201487668,0.463207,1295,0,0,0,0,0,0,0
201490527,201490451,0.464944,1295,0.886486486,0.841698842,0.847104247,0.791505792,0.790733591,0.790733591,0.790733591
201490909,201490914,0.463902,1295,0.999227799,0.999227799,0.999227799,0.999227799,0.999227799,0.999227799,0.996911197
201485655,201485748,0.463902,1296,0,0,0,0,0,0,0
201493390,201493642,0.465291,1296,0.61882716,0.592592593,0.523919753,0.555555556,0.55632716,0.537808642,0.558641975
201495966,201496030,0.464597,1296,0.354938272,0.274691358,0.127314815,0.141203704,0.130401235,0.12808642,0.12808642
201493782,201493715,0.463554,1297,0.616808019,0.618350039,0.610639938,0.612181958,0.605242868,0.598303778,0.595990748
201494410,201494413,0.464595,1297,0.107170393,0.104857363,0.104857363,0.105628373,0.105628373,0.105628373,0.105628373
201494549,201494548,0.465292,1297,0.602929838,0.599845798,0.599845798,0.595990748,0.595990748,0.595990748,0.595990748
201494564,201494615,0.464249,1297,0,0,0,0,0,0,0
201488118,201488065,0.466334,1298,0.450693374,0.446841294,0.441448382,0.382126348,0.379044684,0.379044684,0.379044684
201488352,201488269,0.466334,1298,0.718027735,0.719568567,0.716486903,0.716486903,0.716486903,0.716486903,0.756548536
201488561,201488625,0.466334,1298,0.002311248,0.002311248,0.002311248,0.002311248,0.002311248,0.001540832,0.001540832
201493644,201493687,0.465292,1298,0.489214176,0.485362096,0.457627119,0.426040062,0.409861325,0.446070878,0.445300462
201496556,201496577,0.465987,1298,0.140215716,0.020030817,0.019260401,0.016178737,0.013097072,0.013097072,0.013097072
201496956,201496979,0.465639,1298,0.025423729,0.025423729,0.023112481,0.023882897,0.013867488,0.013867488,0.013867488
